-0.4597568  0.3725970 -0.4899481  0.4454364  0.2865272 -0.1752894 -0.4826257 -0.1987930 -0.1537259 -0.0831333 
-0.4589818  0.3731827 -0.4898886  0.4460306  0.2868633 -0.1754671 -0.4830441 -0.1996540 -0.1536814 -0.0823433 
-0.4591321  0.3727986 -0.4897617  0.4456674  0.2871363 -0.1748065 -0.4831398 -0.1990750 -0.1544126 -0.0816890 
-0.4590064  0.3731530 -0.4896667  0.4452246  0.2867925 -0.1749514 -0.4837537 -0.1991767 -0.1549299 -0.0814909 
-0.4576707  0.3715162 -0.4884967  0.4458342  0.2875127 -0.1738128 -0.4836403 -0.1984785 -0.1562736 -0.0807782 
-0.4568999  0.3724556 -0.4900828  0.4470811  0.2880016 -0.1731142 -0.4850424 -0.1983026 -0.1547587 -0.0822705 
-0.4565194  0.3730555 -0.4908974  0.4468783  0.2883528 -0.1738285 -0.4848185 -0.1986316 -0.1542829 -0.0816887 
-0.4564407  0.3730491 -0.4910195  0.4469978  0.2882306 -0.1738108 -0.4846910 -0.1987172 -0.1541833 -0.0818327 
-0.4554743  0.3743464 -0.4920331  0.4468458  0.2864924 -0.1729329 -0.4860429 -0.1990510 -0.1548448 -0.0801072 
-0.4545144  0.3748622 -0.4913866  0.4473707  0.2872133 -0.1731832 -0.4868447 -0.1999645 -0.1542116 -0.0806891 
-0.4539889  0.3754281 -0.4899096  0.4472100  0.2887341 -0.1725906 -0.4881054 -0.1994723 -0.1539606 -0.0809705 
-0.4535977  0.3754639 -0.4898402  0.4472421  0.2885180 -0.1726816 -0.4882376 -0.1998815 -0.1536999 -0.0812385 
-0.4513170  0.3760508 -0.4903219  0.4495194  0.2901226 -0.1708553 -0.4890037 -0.1996391 -0.1542534 -0.0822859 
-0.4515041  0.3766389 -0.4906517  0.4505896  0.2904165 -0.1718129 -0.4875708 -0.1984405 -0.1545987 -0.0807320 
-0.4504336  0.3752927 -0.4909050  0.4507867  0.2899833 -0.1725223 -0.4860387 -0.1977110 -0.1537829 -0.0804177 
-0.4489047  0.3761056 -0.4900215  0.4523185  0.2895717 -0.1729191 -0.4844767 -0.1984512 -0.1542156 -0.0801448 
-0.4484913  0.3754459 -0.4907141  0.4516512  0.2888958 -0.1719009 -0.4836304 -0.1978092 -0.1547250 -0.0813054 
-0.4482080  0.3754081 -0.4898767  0.4507778  0.2895324 -0.1719394 -0.4839623 -0.1976774 -0.1551273 -0.0804274 
-0.4449187  0.3787270 -0.4861825  0.4519115  0.2910405 -0.1734829 -0.4811668 -0.1968548 -0.1517463 -0.0818023 
-0.4446831  0.3784114 -0.4859792  0.4520327  0.2912028 -0.1734368 -0.4815875 -0.1968073 -0.1522180 -0.0813052 
-0.4447224  0.3789259 -0.4857298  0.4520666  0.2913997 -0.1732257 -0.4817275 -0.1969292 -0.1527106 -0.0809661 
-0.4414122  0.3833254 -0.4838320  0.4492168  0.2942801 -0.1714417 -0.4815738 -0.1920121 -0.1521082 -0.0810448 
